A,35.773637,-78.674057
B,35.772497,-78.674994
C,35.770381,-78.676586
D,35.770006,-78.676690
E,35.768768,-78.677009
F,35.768698,-78.677971
G,35.768571,-78.678672
H,35.769070,-78.678052
I,35.771367,-78.677547
J,35.773543,-78.677021
K,35.772908,-78.675712
L,35.773465,-78.675251
M,35.770182,-78.677818
N,35.771209,-78.676875
O,35.770412,-78.677010
