"[35.771209, -78.676875]","[35.771367, -78.677547]","[35.770182, -78.677818]","[35.76907, -78.678052]","[35.768698, -78.677971]","[35.768768, -78.677009]","[35.770006, -78.67669]","[35.770381, -78.676586]","[35.772497, -78.674994]","[35.773637, -78.674057]"
"[35.771209, -78.676875]","[35.771367, -78.677547]","[35.770182, -78.677818]","[35.770006, -78.67669]","[35.770381, -78.676586]","[35.772497, -78.674994]","[35.773637, -78.674057]"
"[35.771209, -78.676875]","[35.771367, -78.677547]","[35.773543, -78.677021]","[35.772908, -78.675712]","[35.772497, -78.674994]","[35.773637, -78.674057]"
"[35.771209, -78.676875]","[35.770412, -78.67701]","[35.770381, -78.676586]","[35.770006, -78.67669]","[35.770182, -78.677818]","[35.771367, -78.677547]","[35.773543, -78.677021]","[35.772908, -78.675712]","[35.772497, -78.674994]","[35.773637, -78.674057]"
"[35.771209, -78.676875]","[35.770412, -78.67701]","[35.770381, -78.676586]","[35.770006, -78.67669]","[35.768768, -78.677009]","[35.768698, -78.677971]","[35.76907, -78.678052]","[35.770182, -78.677818]","[35.771367, -78.677547]","[35.773543, -78.677021]","[35.772908, -78.675712]","[35.772497, -78.674994]","[35.773637, -78.674057]"
"[35.771209, -78.676875]","[35.770412, -78.67701]","[35.770381, -78.676586]","[35.772497, -78.674994]","[35.773637, -78.674057]"
